vendor,camera,sensor_name,aspect,fov,pixel_pitch,res_w,res_h,sensor_w_mm,sensor_h_mm,focal_length
ARRI,ALEXA 265,6.5K 2.12:1 Open Gate,2.1161,40.15,0.008250,6560,3100,54.12,25.58,35.00
ARRI,ALEXA 265,5.1K 1.65:1,1.6516,40.15,0.008250,5120,3100,42.24,25.58,35.00
ARRI,ALEXA 265,4.5K LF 3:2,1.4367,40.10,0.008250,4448,3096,36.70,25.55,35.00
ARRI,ALEXA 35,4.6K 3:2 Open Gate,1.4564,30.68,0.006076,4608,3164,28.00,19.20,35.00
ARRI,ALEXA 35,4.6K 16:9,1.7778,25.28,0.006076,4608,2592,28.00,15.70,35.00
ARRI,ALEXA 35,4K 16:9,1.7778,22.62,0.006079,4096,2304,24.90,14.00,35.00
ARRI,ALEXA 35,4K 2:1,2.0000,20.09,0.006079,4096,2048,24.90,12.40,35.00
ARRI,ALEXA 35,3.8K 16:9,1.7778,21.20,0.006068,3840,2160,23.30,13.10,35.00
ARRI,ALEXA 35,3.3K 6:5,1.1928,27.22,0.006076,3328,2790,20.22,16.95,35.00
ARRI,ALEXA 35,3K 1:1,1.0000,29.91,0.006087,3072,3072,18.70,18.70,35.00
ARRI,ALEXA 35,2.7K 8:9,0.8889,29.91,0.006088,2743,3086,16.70,18.70,35.00
ARRI,ALEXA 35,2K 16:9 S16,1.7778,11.42,0.006055,2048,1152,12.40,7.00,35.00
ARRI,ALEXA 65,Open Gate,2.1161,40.15,0.008250,6560,3100,54.12,25.58,35.00
ARRI,ALEXA 65,LF Open Gate,1.4367,40.09,0.008251,4448,3096,36.70,25.54,35.00
ARRI,ALEXA 65,16:9,1.7778,37.50,0.008250,5120,2880,42.24,23.76,35.00
ARRI,ALEXA 65,3:2,1.5000,37.50,0.008250,4320,2880,35.64,23.76,35.00
ARRI,ALEXA LF,LF Open Gate Mode OG 4.5K,1.4367,40.09,0.008251,4448,3096,36.70,25.54,35.00
ARRI,ALEXA LF,LF 2.39:1 Scope Mode 4.5K,2.3966,24.67,0.008251,4448,1856,36.70,15.31,35.00
ARRI,ALEXA LF,LF 16:9 Mode 4K UHD,1.7778,28.56,0.008250,3840,2160,31.68,17.82,35.00
ARRI,ALEXA LF,LF 16:9 Mode 2K,1.7778,28.56,0.015469,2048,1152,31.68,17.82,35.00
ARRI,ALEXA LF,LF 16:9 Mode HD,1.7778,28.56,0.016500,1920,1080,31.68,17.82,35.00
ARRI,ALEXA Mini,4K UHD,1.7778,23.95,0.006875,3840,2160,26.40,14.85,35.00
ARRI,ALEXA Mini,3.4K Open Gate,1.5550,29.10,0.008251,3424,2202,28.25,18.17,35.00
ARRI,ALEXA Mini,3.2K,1.7778,23.95,0.008250,3200,1800,26.40,14.85,35.00
ARRI,ALEXA Mini,2.8K 4:3,1.3333,28.56,0.008250,2880,2160,23.76,17.82,35.00
ARRI,ALEXA Mini,2.8K,1.7778,21.63,0.008250,2880,1620,23.76,13.37,35.00
ARRI,ALEXA Mini,2K Anamorphic 2.39:1 2560 x 2145,1.1935,28.38,0.008250,2560,2145,21.12,17.70,35.00
ARRI,ALEXA Mini,2K,1.7778,21.52,0.011553,2048,1152,23.66,13.30,35.00
ARRI,ALEXA Mini,2K Anamorphic 2.39:1 2048 x 858,2.3869,28.38,0.010313,2048,858,21.12,17.70,35.00
ARRI,ALEXA Mini,HD Anamorphic 16:9,0.8889,28.56,0.008250,1920,2160,15.84,17.82,35.00
ARRI,ALEXA Mini,HD Anamorphic,1.7778,28.56,0.008250,1920,1080,15.84,17.82,35.00
ARRI,ALEXA Mini,HD,1.7778,21.63,0.012375,1920,1080,23.76,13.37,35.00
ARRI,ALEXA Mini,S16 HD,1.7778,12.11,0.006875,1920,1080,13.20,7.42,35.00
ARRI,ALEXA SXT,Open Gate Mode 4K Cine,1.5539,29.04,0.006877,4096,2636,28.17,18.13,35.00
ARRI,ALEXA SXT,Open Gate Mode 3.4K,1.5550,29.10,0.008251,3424,2202,28.25,18.17,35.00
ARRI,ALEXA SXT,6:5 Mode 4K Cine Anamorphic,2.3869,28.38,0.005156,4096,1716,21.12,17.70,35.00
ARRI,ALEXA SXT,6:5 Mode 2.6K,1.1935,28.56,0.008293,2578,2160,21.38,17.82,35.00
ARRI,ALEXA SXT,6:5 Mode 2K Anamorphic,2.3869,28.38,0.010313,2048,858,21.12,17.70,35.00
ARRI,ALEXA SXT,4:3 Mode 2.8K,1.3333,28.56,0.008250,2880,2160,23.76,17.82,35.00
ARRI,ALEXA SXT,16:9 Mode 4K UHD,1.7778,23.95,0.006875,3840,2160,26.40,14.85,35.00
ARRI,ALEXA SXT,16:9 Mode 3.2K 3200 x 1800,1.7778,23.95,0.008250,3200,1800,26.40,14.85,35.00
ARRI,ALEXA SXT,16:9 Mode 3.2K 3168 x 1782,1.7778,23.72,0.008251,3168,1782,26.14,14.70,35.00
ARRI,ALEXA SXT,16:9 Mode 2.8K,1.7778,21.63,0.008250,2880,1620,23.76,13.37,35.00
ARRI,ALEXA SXT,16:9 Mode 2K,1.7778,21.63,0.011602,2048,1152,23.76,13.37,35.00
ARRI,ALEXA SXT,16:9 Mode HD,1.7778,21.63,0.012375,1920,1080,23.76,13.37,35.00
ARRI,ALEXA SXT Plus,Open Gate Mode 4K Cine,1.5539,29.04,0.006877,4096,2636,28.17,18.13,35.00
ARRI,ALEXA SXT Plus,Open Gate Mode 3.4K,1.5550,29.10,0.008251,3424,2202,28.25,18.17,35.00
ARRI,ALEXA SXT Plus,6:5 Mode 4K Cine Anamorphic,2.3869,28.38,0.005156,4096,1716,21.12,17.70,35.00
ARRI,ALEXA SXT Plus,6:5 Mode 2.6K,1.1935,28.56,0.008293,2578,2160,21.38,17.82,35.00
ARRI,ALEXA SXT Plus,6:5 Mode 2K Anamorphic,2.3869,28.38,0.010313,2048,858,21.12,17.70,35.00
ARRI,ALEXA SXT Plus,4:3 Mode 2.8K,1.3333,28.56,0.008250,2880,2160,23.76,17.82,35.00
ARRI,ALEXA SXT Plus,16:9 Mode 4K UHD,1.7778,23.95,0.006875,3840,2160,26.40,14.85,35.00
ARRI,ALEXA SXT Plus,16:9 Mode 3.2K 3200 x 1800,1.7778,23.95,0.008250,3200,1800,26.40,14.85,35.00
ARRI,ALEXA SXT Plus,16:9 Mode 3.2K 3168 x 1782,1.7778,23.72,0.008251,3168,1782,26.14,14.70,35.00
ARRI,ALEXA SXT Plus,16:9 Mode 2.8K,1.7778,21.63,0.008250,2880,1620,23.76,13.37,35.00
ARRI,ALEXA SXT Plus,16:9 Mode 2K,1.7778,21.63,0.011602,2048,1152,23.76,13.37,35.00
ARRI,ALEXA SXT Plus,16:9 Mode HD,1.7778,21.63,0.012375,1920,1080,23.76,13.37,35.00
ARRI,ALEXA SXT Studio,Open Gate Mode 4K Cine,1.5539,29.04,0.006877,4096,2636,28.17,18.13,35.00
ARRI,ALEXA SXT Studio,Open Gate Mode 3.4K,1.5550,29.10,0.008251,3424,2202,28.25,18.17,35.00
ARRI,ALEXA SXT Studio,6:5 Mode 4K Cine Anamorphic,2.3869,28.38,0.005156,4096,1716,21.12,17.70,35.00
ARRI,ALEXA SXT Studio,6:5 Mode 2.6K,1.1935,28.56,0.008293,2578,2160,21.38,17.82,35.00
ARRI,ALEXA SXT Studio,6:5 Mode 2K Anamorphic,2.3869,28.38,0.010313,2048,858,21.12,17.70,35.00
ARRI,ALEXA SXT Studio,4:3 Mode 2.8K,1.3333,28.56,0.008250,2880,2160,23.76,17.82,35.00
ARRI,ALEXA SXT Studio,16:9 Mode 4K UHD,1.7778,23.95,0.006875,3840,2160,26.40,14.85,35.00
ARRI,ALEXA SXT Studio,16:9 Mode 3.2K 3200 x 1800,1.7778,23.95,0.008250,3200,1800,26.40,14.85,35.00
ARRI,ALEXA SXT Studio,16:9 Mode 3.2K 3168 x 1782,1.7778,23.72,0.008251,3168,1782,26.14,14.70,35.00
ARRI,ALEXA SXT Studio,16:9 Mode 2.8K,1.7778,21.63,0.008250,2880,1620,23.76,13.37,35.00
ARRI,ALEXA SXT Studio,16:9 Mode 2K,1.7778,21.63,0.011602,2048,1152,23.76,13.37,35.00
ARRI,ALEXA SXT Studio,16:9 Mode HD,1.7778,21.63,0.012375,1920,1080,23.76,13.37,35.00
ARRI,ALEXA XR Plus,Open Gate Mode Open Gate,1.5532,29.10,0.008275,3414,2198,28.25,18.17,35.00
ARRI,ALEXA XR Plus,4:3 Mode Full,1.3333,28.56,0.008250,2880,2160,23.76,17.82,35.00
ARRI,ALEXA XR Plus,4:3 Mode Cropped,1.1935,28.56,0.008251,2578,2160,21.27,17.82,35.00
ARRI,ALEXA XR Plus,4:3 Mode 2K,1.3333,28.46,0.011553,2048,1536,23.66,17.75,35.00
ARRI,ALEXA XR Plus,16:9 Mode 3.2K,1.7795,23.72,0.008262,3164,1778,26.14,14.70,35.00
ARRI,ALEXA XR Plus,16:9 Mode 2.8K,1.7778,21.63,0.008250,2880,1620,23.76,13.37,35.00
ARRI,ALEXA XR Plus,16:9 Mode 2K,1.7778,21.55,0.011553,2048,1152,23.66,13.32,35.00
ARRI,ALEXA XR Plus,16:9 Mode HD,1.7778,21.63,0.012375,1920,1080,23.76,13.37,35.00
ARRI,ALEXA XR Studio,Open Gate Mode Open Gate,1.5532,29.10,0.008275,3414,2198,28.25,18.17,35.00
ARRI,ALEXA XR Studio,4:3 Mode Full,1.3333,28.56,0.008250,2880,2160,23.76,17.82,35.00
ARRI,ALEXA XR Studio,4:3 Mode Cropped,1.1935,28.56,0.008251,2578,2160,21.27,17.82,35.00
ARRI,ALEXA XR Studio,4:3 Mode 2K,1.3333,28.46,0.011553,2048,1536,23.66,17.75,35.00
ARRI,ALEXA XR Studio,16:9 Mode 3.2K,1.7795,23.72,0.008262,3164,1778,26.14,14.70,35.00
ARRI,ALEXA XR Studio,16:9 Mode 2.8K,1.7778,21.63,0.008250,2880,1620,23.76,13.37,35.00
ARRI,ALEXA XR Studio,16:9 Mode 2K,1.7778,21.55,0.011553,2048,1152,23.66,13.32,35.00
ARRI,ALEXA XR Studio,16:9 Mode HD,1.7778,21.63,0.012375,1920,1080,23.76,13.37,35.00
ARRI,ALEXA XT,Open Gate Mode Open Gate,1.5532,29.10,0.008275,3414,2198,28.25,18.17,35.00
ARRI,ALEXA XT,4:3 Mode Full,1.3333,28.56,0.008250,2880,2160,23.76,17.82,35.00
ARRI,ALEXA XT,4:3 Mode Cropped,1.1935,28.56,0.008251,2578,2160,21.27,17.82,35.00
ARRI,ALEXA XT,4:3 Mode 2K,1.3333,28.46,0.011553,2048,1536,23.66,17.75,35.00
ARRI,ALEXA XT,16:9 Mode 3.2K,1.7795,23.72,0.008262,3164,1778,26.14,14.70,35.00
ARRI,ALEXA XT,16:9 Mode 2.8K,1.7778,21.63,0.008250,2880,1620,23.76,13.37,35.00
ARRI,ALEXA XT,16:9 Mode 2K,1.7778,21.55,0.011553,2048,1152,23.66,13.32,35.00
ARRI,ALEXA XT,16:9 Mode HD,1.7778,21.63,0.012375,1920,1080,23.76,13.37,35.00
ARRI,ALEXA XT B+W,Open Gate Mode Open Gate,1.5532,29.10,0.008275,3414,2198,28.25,18.17,35.00
ARRI,ALEXA XT B+W,4:3 Mode Full,1.3333,28.56,0.008250,2880,2160,23.76,17.82,35.00
ARRI,ALEXA XT B+W,4:3 Mode Cropped,1.1935,28.56,0.008251,2578,2160,21.27,17.82,35.00
ARRI,ALEXA XT B+W,4:3 Mode 2K,1.3333,28.46,0.011553,2048,1536,23.66,17.75,35.00
ARRI,ALEXA XT B+W,16:9 Mode 3.2K,1.7795,23.72,0.008262,3164,1778,26.14,14.70,35.00
ARRI,ALEXA XT B+W,16:9 Mode 2.8K,1.7778,21.63,0.008250,2880,1620,23.76,13.37,35.00
ARRI,ALEXA XT B+W,16:9 Mode 2K,1.7778,21.55,0.011553,2048,1152,23.66,13.32,35.00
ARRI,ALEXA XT B+W,16:9 Mode HD,1.7778,21.63,0.012375,1920,1080,23.76,13.37,35.00
ARRI,ALEXA XT M,Open Gate Mode Open Gate,1.5532,29.10,0.008275,3414,2198,28.25,18.17,35.00
ARRI,ALEXA XT M,4:3 Mode Full,1.3333,28.56,0.008250,2880,2160,23.76,17.82,35.00
ARRI,ALEXA XT M,4:3 Mode Cropped,1.1935,28.56,0.008251,2578,2160,21.27,17.82,35.00
ARRI,ALEXA XT M,4:3 Mode 2K,1.3333,28.46,0.011553,2048,1536,23.66,17.75,35.00
ARRI,ALEXA XT M,16:9 Mode 3.2K,1.7795,23.72,0.008262,3164,1778,26.14,14.70,35.00
ARRI,ALEXA XT M,16:9 Mode 2.8K,1.7778,21.63,0.008250,2880,1620,23.76,13.37,35.00
ARRI,ALEXA XT M,16:9 Mode 2K,1.7778,21.55,0.011553,2048,1152,23.66,13.32,35.00
ARRI,ALEXA XT M,16:9 Mode HD,1.7778,21.63,0.012375,1920,1080,23.76,13.37,35.00
ARRI,ALEXA XT Plus,Open Gate Mode Open Gate,1.5532,29.10,0.008275,3414,2198,28.25,18.17,35.00
ARRI,ALEXA XT Plus,4:3 Mode Full,1.3333,28.56,0.008250,2880,2160,23.76,17.82,35.00
ARRI,ALEXA XT Plus,4:3 Mode Cropped,1.1935,28.56,0.008251,2578,2160,21.27,17.82,35.00
ARRI,ALEXA XT Plus,4:3 Mode 2K,1.3333,28.46,0.011553,2048,1536,23.66,17.75,35.00
ARRI,ALEXA XT Plus,16:9 Mode 3.2K,1.7795,23.72,0.008262,3164,1778,26.14,14.70,35.00
ARRI,ALEXA XT Plus,16:9 Mode 2.8K,1.7778,21.63,0.008250,2880,1620,23.76,13.37,35.00
